File accession	File format	Output type	Assay term name	Dataset accession	Annotation type	Software used	Encyclopedia Version	Biosample term id	Biosample term name	Biosample type	Life stage	Age	Age units	Organism	Targets	Dataset date released	Project	Lab	md5sum	dbxrefs	File download URL	Assembly	Controlled by	File Status	Derived from	S3 URL	Azure URL	Size	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF606DOD	bed bed9+	candidate Cis-Regulatory Elements		ENCSR019GHX	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	a7257fde881a488a3b3f1268754588c9		https://www.encodeproject.org/files/ENCFF606DOD/@@download/ENCFF606DOD.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/20/1b0c8fa4-8e98-4289-928f-3b8f7f5ddda7/ENCFF606DOD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/1b0c8fa4-8e98-4289-928f-3b8f7f5ddda7/ENCFF606DOD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15044995			
ENCFF790PDO	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR019GHX	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	e049e4b70482715ae4b1eb64c959a24c		https://www.encodeproject.org/files/ENCFF790PDO/@@download/ENCFF790PDO.bigBed	GRCh38		released	/files/ENCFF606DOD/	https://encode-public.s3.amazonaws.com/2021/09/20/cce86e80-ed1d-40f5-8d97-ea64c48c83e3/ENCFF790PDO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/cce86e80-ed1d-40f5-8d97-ea64c48c83e3/ENCFF790PDO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35963906			
ENCFF507HVH	bed bed9+	candidate Cis-Regulatory Elements		ENCSR855THX	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	5670f83cc07cef72052123242ed1f46e		https://www.encodeproject.org/files/ENCFF507HVH/@@download/ENCFF507HVH.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/572b0fc2-d411-4a3d-aa18-46b339ebd417/ENCFF507HVH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/572b0fc2-d411-4a3d-aa18-46b339ebd417/ENCFF507HVH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15010617			
ENCFF386TZM	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR855THX	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	abdad9adf4c8657070fc92b5de00b647		https://www.encodeproject.org/files/ENCFF386TZM/@@download/ENCFF386TZM.bigBed	GRCh38		released	/files/ENCFF507HVH/	https://encode-public.s3.amazonaws.com/2021/10/25/000b30db-0cad-4343-b4c4-2e45e723045c/ENCFF386TZM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/000b30db-0cad-4343-b4c4-2e45e723045c/ENCFF386TZM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35917124			
ENCFF048AGW	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR206POU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	38dcc2aba486117d3303288b040c2704		https://www.encodeproject.org/files/ENCFF048AGW/@@download/ENCFF048AGW.bigBed	GRCh38		released	/files/ENCFF661PLY/	https://encode-public.s3.amazonaws.com/2021/10/25/dc3e8eea-7ddd-48eb-a8b5-d8765fe5c0cd/ENCFF048AGW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/dc3e8eea-7ddd-48eb-a8b5-d8765fe5c0cd/ENCFF048AGW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27602816			
ENCFF661PLY	bed bed9+	candidate Cis-Regulatory Elements		ENCSR206POU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	a0fd9d7c39382d053dd2a8c5d84cf9b7		https://www.encodeproject.org/files/ENCFF661PLY/@@download/ENCFF661PLY.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/2d12dca8-158f-45f8-a390-ec028764d5ed/ENCFF661PLY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/2d12dca8-158f-45f8-a390-ec028764d5ed/ENCFF661PLY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15098189			
ENCFF900LHN	bed bed9+	candidate Cis-Regulatory Elements		ENCSR481AZU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	4f7c2e73dbf74adc6a880a0491be48e3		https://www.encodeproject.org/files/ENCFF900LHN/@@download/ENCFF900LHN.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/27347103-dc94-43de-8aa0-ee135b989685/ENCFF900LHN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/27347103-dc94-43de-8aa0-ee135b989685/ENCFF900LHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15104291			
ENCFF169NIT	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR481AZU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	a9302b0c66d4bef9551ac72e8501365f		https://www.encodeproject.org/files/ENCFF169NIT/@@download/ENCFF169NIT.bigBed	GRCh38		released	/files/ENCFF900LHN/	https://encode-public.s3.amazonaws.com/2021/10/25/7eaaa916-2e2a-4b53-81be-b8cac1cb3823/ENCFF169NIT.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/7eaaa916-2e2a-4b53-81be-b8cac1cb3823/ENCFF169NIT.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27607343			
ENCFF604EPU	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR496ZLW	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	0e661473d1caf9f4688dcda05b1e0824		https://www.encodeproject.org/files/ENCFF604EPU/@@download/ENCFF604EPU.bigBed	mm10		released	/files/ENCFF751RMP/	https://encode-public.s3.amazonaws.com/2022/02/23/f3087f2d-a70a-45c9-9a6f-91659714a7c4/ENCFF604EPU.bigBed	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/f3087f2d-a70a-45c9-9a6f-91659714a7c4/ENCFF604EPU.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	9511623			
ENCFF751RMP	bed bed9+	candidate Cis-Regulatory Elements		ENCSR496ZLW	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	2b530b1670a8e74c6b4db39b7371aae7		https://www.encodeproject.org/files/ENCFF751RMP/@@download/ENCFF751RMP.bed.gz	mm10		released	/files/ENCFF095AEF/	https://encode-public.s3.amazonaws.com/2022/02/23/3778cde3-7b69-431f-bd7d-13276d19e834/ENCFF751RMP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/3778cde3-7b69-431f-bd7d-13276d19e834/ENCFF751RMP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	4676617			
ENCFF666XFC	bed bed9+	candidate Cis-Regulatory Elements		ENCSR834NCV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	7735afc86c07f971f4820738668f6d08		https://www.encodeproject.org/files/ENCFF666XFC/@@download/ENCFF666XFC.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/d5a6cd70-8b5d-4e27-a458-3709b556a900/ENCFF666XFC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/d5a6cd70-8b5d-4e27-a458-3709b556a900/ENCFF666XFC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15097764			
ENCFF898SJN	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR834NCV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	06758af37fcd46c6cc28ea36f456cd11		https://www.encodeproject.org/files/ENCFF898SJN/@@download/ENCFF898SJN.bigBed	GRCh38		released	/files/ENCFF666XFC/	https://encode-public.s3.amazonaws.com/2021/10/25/0ec5a74c-e4d6-4a51-b7cc-9ca80023703c/ENCFF898SJN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/0ec5a74c-e4d6-4a51-b7cc-9ca80023703c/ENCFF898SJN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27611015			
ENCFF974UWG	bed bed9+	candidate Cis-Regulatory Elements		ENCSR089NNM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	51b94a9ce0adac0eb6ecb5356cabb47e		https://www.encodeproject.org/files/ENCFF974UWG/@@download/ENCFF974UWG.bed.gz	mm10		released	/files/ENCFF095AEF/	https://encode-public.s3.amazonaws.com/2022/02/23/6c42d523-0834-4e35-a3cd-8a36ec7a807b/ENCFF974UWG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/6c42d523-0834-4e35-a3cd-8a36ec7a807b/ENCFF974UWG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	4595308			
ENCFF824OZP	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR089NNM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	3b57f00cdaa44e0ed1485a1c706af4e9		https://www.encodeproject.org/files/ENCFF824OZP/@@download/ENCFF824OZP.bigBed	mm10		released	/files/ENCFF974UWG/	https://encode-public.s3.amazonaws.com/2022/02/23/a8de5abb-8ff2-45fd-8519-d027bbd5f0bb/ENCFF824OZP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/a8de5abb-8ff2-45fd-8519-d027bbd5f0bb/ENCFF824OZP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	9422917			
ENCFF137THP	bed bed9+	candidate Cis-Regulatory Elements		ENCSR300XSY	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	dc5deb501cfb2a4420cd08832906c2a9		https://www.encodeproject.org/files/ENCFF137THP/@@download/ENCFF137THP.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/19/81bca55e-0440-47e7-8014-8e933d7e781c/ENCFF137THP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/19/81bca55e-0440-47e7-8014-8e933d7e781c/ENCFF137THP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	14904068			
ENCFF571FOS	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR300XSY	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	9a5913d7e252ce6e7a6b5e882ef9a17c		https://www.encodeproject.org/files/ENCFF571FOS/@@download/ENCFF571FOS.bigBed	GRCh38		released	/files/ENCFF137THP/	https://encode-public.s3.amazonaws.com/2021/09/19/75cef22f-2137-44dd-86f3-998e47b92a36/ENCFF571FOS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/19/75cef22f-2137-44dd-86f3-998e47b92a36/ENCFF571FOS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27766244			
ENCFF278JOB	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR884KZR	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	a6486fc8c662ad3b4b7ddb525256e5a4		https://www.encodeproject.org/files/ENCFF278JOB/@@download/ENCFF278JOB.bigBed	mm10		released	/files/ENCFF556NXC/	https://encode-public.s3.amazonaws.com/2022/02/23/aa88383f-bf64-4b02-a227-1e87887e8426/ENCFF278JOB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/aa88383f-bf64-4b02-a227-1e87887e8426/ENCFF278JOB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	9418151			
ENCFF556NXC	bed bed9+	candidate Cis-Regulatory Elements		ENCSR884KZR	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-24	ENCODE	Zhiping Weng, UMass	39d8243dd4e040a565af7d06bc429d62		https://www.encodeproject.org/files/ENCFF556NXC/@@download/ENCFF556NXC.bed.gz	mm10		released	/files/ENCFF095AEF/	https://encode-public.s3.amazonaws.com/2022/02/23/de85311d-79fe-4360-9df1-476a6ee08979/ENCFF556NXC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/23/de85311d-79fe-4360-9df1-476a6ee08979/ENCFF556NXC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	4590320			
ENCFF034BHY	bed bed9+	candidate Cis-Regulatory Elements		ENCSR751PAL	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	1c8ca1e9ea767983d88355a35e8d6a8d		https://www.encodeproject.org/files/ENCFF034BHY/@@download/ENCFF034BHY.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/e3f3c795-5126-42c8-9fc3-f6dbedf79058/ENCFF034BHY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/e3f3c795-5126-42c8-9fc3-f6dbedf79058/ENCFF034BHY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15256260			
ENCFF524SID	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR751PAL	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	bc26996ed9ab4dc2d9bdafb112ceb751		https://www.encodeproject.org/files/ENCFF524SID/@@download/ENCFF524SID.bigBed	GRCh38		released	/files/ENCFF034BHY/	https://encode-public.s3.amazonaws.com/2021/10/25/8be616e9-2424-44b2-8100-e85de56369a3/ENCFF524SID.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/8be616e9-2424-44b2-8100-e85de56369a3/ENCFF524SID.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35941902			
ENCFF838QAW	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR752MGN	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	951c7e6c92b696637a07098f04b937a4		https://www.encodeproject.org/files/ENCFF838QAW/@@download/ENCFF838QAW.bigBed	GRCh38		released	/files/ENCFF322DZO/	https://encode-public.s3.amazonaws.com/2021/10/25/605c4e30-a3c1-402b-af64-fb6b60a7c1fc/ENCFF838QAW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/605c4e30-a3c1-402b-af64-fb6b60a7c1fc/ENCFF838QAW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	36000598			
ENCFF322DZO	bed bed9+	candidate Cis-Regulatory Elements		ENCSR752MGN	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	c5c68e162fbf00edd6f63e22ac374dd0		https://www.encodeproject.org/files/ENCFF322DZO/@@download/ENCFF322DZO.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/004bf5fe-8663-46b9-b352-8b235d29528c/ENCFF322DZO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/004bf5fe-8663-46b9-b352-8b235d29528c/ENCFF322DZO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15165090			
